0,xxxSNAMEyyy communication was sent in the month of May 2017 . -Manoj n/n,xxxSNAMEyyy communication was sent in the month of May 2017 . - Manoj,1,1
3844,xxxSNAMEyyy Please send your full name/zip/phone # so can connect with you . ^az xxxURLyyy,xxxSNAMEyyy Please send your full name or zip or phone number so can connect with you . xxxURLyyy,1,1
3845,xxxSNAMEyyy calls/emails . Any such attempt may be reported to epg.cmsxxxSNAMEyyy.co.in and to the law enforcement agencies operating in ( 3/4,xxxSNAMEyyy calls or emails . Any such attempt may be reported to epg.cmsxxxSNAMEyyy.co.in and to the law enforcement agencies operating in ,1,1
3846,"xxxSNAMEyyy Hi , could you please elaborate more on this for us to assist you accordingly . Sorry for the trouble .","xxxSNAMEyyy Hi , could you please elaborate more on this for us to assist you accordingly . Sorry for the trouble .",2,1
3847,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy unable to fill the form . saying corporate salary acount is for selected xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy unable to fill the form . saying corporate salary acount is for selected xxxURLyyy,0,1
3848,"xxxSNAMEyyy Hi , Please elaborate on your concern for me to assist you . -Manoj","xxxSNAMEyyy Hi , Please elaborate on your concern for me to assist you . -Manoj",1,1
3849,xxxSNAMEyyy my funds still are n't available and it 's been 47 years ... Lol ... I think there 's a glitch in your funds av xxxURLyyy,"xxxSNAMEyyy my funds still are not available and it has been 47 years , .,Laughter_expression, .,I think there is a glitch in your funds asset value xxxURLyyy ",0,1
3850,"xxxSNAMEyyy Hi Sumit , In case you wish to stop receiving our promotional calls or msgs , u can register your number for DNC ( 1/2","xxxSNAMEyyy Hi Sumit , In case you wish to stop receiving our promotional calls or messages , you can register your number for DNC  ",1,1
3851,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy If u want to stop something then s xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy If you want to stop something then  xxxURLyyy,1,1
3852,"xxxSNAMEyyy Hi , we have made a note of your SR number . Our official will get in touch with you .","xxxSNAMEyyy Hi , we have made a note of your serial number . Our official will get in touch with you .",2,1
3853,xxxSNAMEyyy xxxSNAMEyyy Are n't your systems working today ? Why ca n't I sort one simple transaction ? Kindly help asap !,xxxSNAMEyyy xxxSNAMEyyy Are not your systems working today ? Why can not I sort one simple transaction ? Kindly help as soon as possible !,0,1
3854,xxxSNAMEyyy Total transaction of month should be 3K ?,xxxSNAMEyyy Total transaction of month should be 3000 ?,1,1
3855,xxxSNAMEyyy We apologize for the inconvenience . Find out how to opt out of email athttps : //xxxURLyyy . ^mm,xxxSNAMEyyy We apologize for the inconvenience . Find out how to opt out of email at https : //xxxURLyyy . ,2,1
3856,"xxxSNAMEyyy again at 1800 11 2211 ( toll-free ) , 1800 425 3800 ( toll-free ) or 800-26599990 or write to us at twitterxxxSNAMEyyy.co.in . We ( 2/3","xxxSNAMEyyy again at 1800 11 2211 ( toll-free ) , 1800 425 3800 ( toll-free ) or 800-26599990 or write to us at twitter xxxSNAMEyyy.co.in . We ",1,1
3857,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy I visited ICICI Bank Agra branch today and Saurabh ( BM ) introduce me with xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy I visited ICICI Bank Agra branch today and Saurabh ( Bank Manager ) introduced me with xxxURLyyy,1,1
3858,xxxSNAMEyyy Hello ! Can you please forward this email to spoofxxxSNAMEyyy.com ? Thanks ! ^YG,xxxSNAMEyyy Hello ! Can you please forward this email to spoofxxxSNAMEyyy.com ? Thanks ! ,1,1
3859,"xxxSNAMEyyy Hey there , please send us a DM if you have any questions regarding a transaction . We 're happy to help . ^CG","xxxSNAMEyyy Hey there , please send us a Direct Message  if you have any questions regarding a transaction . We are happy to help . ",2,1
3860,"xxxSNAMEyyy xxxSNAMEyyy Please help my friend xxxSNAMEyyy in investigating , he has attached the bank statement in the tweet above .","xxxSNAMEyyy xxxSNAMEyyy Please help my friend xxxSNAMEyyy in investigating , he has attached the bank statement in the tweet above .",1,1
3861,xxxSNAMEyyy xxxSNAMEyyy got call from 9113938219 saying I hv applied fr credit crd . I have n't . Frauds hv my documents ? Investigate plz .,xxxSNAMEyyy xxxSNAMEyyy got call from 9113938219 saying I have applied for credit card . I have not . Frauds have my documents ? Investigate please .,0,1
3862,"xxxSNAMEyyy Hi , we 're sorry you had this experience and we want to make this right . Please share your registered contact number via ( 1/2","xxxSNAMEyyy Hi , we are sorry you had this experience and we want to make this right . Please share your registered contact number via ",2,1
3863,"xxxSNAMEyyy Thank you for reaching out ! Could you please send us a DM regarding this issue ? From there , we 'll be xxxURLyyy","xxxSNAMEyyy Thank you for reaching out ! Could you please send us a direct message regarding this issue ? From there , we will be xxxURLyyy",2,1
3864,"xxxSNAMEyyy Thanks for connecting today , Ariel . Pls let us know if you need help in the future . ^cb","xxxSNAMEyyy Thanks for connecting today , Ariel . Pls let us know if you need help in the future . ",2,1
3865,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy.sbi nonsense debited chqrgis in housewife account ' xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy.sbi nonsense debited charges in housewife account ' xxxURLyyy,0,1
3866,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy How long ago was the deposit made ? Funding source ? Paid using `` Goods amp ; Services '' option ?,"xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy How long ago was the deposit made ? Funding source ? Paid using "" Goods and Services '' option ?",1,1
3867,xxxSNAMEyyy What time does a wire from CO to my BoA acct in NC need to get in for it to be in my acct today ?,xxxSNAMEyyy What time does a wire from Colorado to my Bank of America account in North Carolina need to get in for it to be in my account today ?,1,1
3868,xxxSNAMEyyy xxxSNAMEyyy I understand however if it has a pending status with PayPal it is something they 'd assist with . JP,xxxSNAMEyyy xxxSNAMEyyy I understand however if it has a pending status with PayPal it is something they would assist with . JP,1,1
3869,"xxxSNAMEyyy Hi , we will have our official contact you and assist . We appreciate your patience .","xxxSNAMEyyy Hi , we will have our official contact you and assist . We appreciate your patience .",2,1
3870,xxxSNAMEyyy Could you please share the concerned email id for Delhi region . ( 2/2,xxxSNAMEyyy Could you please share the concerned email id for Delhi region . ,1,1
3871,"xxxSNAMEyyy which you have written to us , for assistance . -Anay ( 2/2","xxxSNAMEyyy which you have written to us , for assistance . -Anay ",1,1
3872,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy what type of digital transaction u expect when the SBI has topped in lazyness and xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy what type of digital transaction do you expect when the SBI has topped in laziness and xxxURLyyy,0,1
3873,xxxSNAMEyyy contact details . Mention this Ref No . TW1410171025 in the subject of your mail so it 'll help us track your e-mail . -Anay ( 2/2,xxxSNAMEyyy contact details . Mention this Reference Number ref in the subject of your mail so it will help us track your e-mail . - Anay ,1,1
3874,xxxSNAMEyyy issue on talktousxxxSNAMEyyy.com . Mention this Ref No . TW1510171116 in the subject of your mail so it 'll help us track your ( 2/3,xxxSNAMEyyy issue on talk to usxxxSNAMEyyy.com . Mention this Reference Number ref in the subject of your mail so it will help us track your ,1,1
3875,"xxxSNAMEyyy Hi Kshitij , Please elaborate on your concern for me to assist you.-Anay","xxxSNAMEyyy Hi Kshitij , Please elaborate on your concern for me to assist you.- Anay",2,1
3876,xxxSNAMEyyy There has been no response to my DM . Nor the matter has been resolved . xxxHASHTAGyyy,xxxSNAMEyyy There has been no response to my Direct Message . Nor the matter has been resolved . xxxHASHTAGyyy,0,1
3877,xxxSNAMEyyy Hi Bejoy I have email you as you suggested in the chat I want this farce to stop right away and i s xxxURLyyy,xxxSNAMEyyy Hi Bejoy I have email you as you suggested in the chat I want this farce to stop right away and is xxxURLyyy,1,1
3878,xxxSNAMEyyy You can send us the details by clicking the link below . ^mm xxxURLyyy,xxxSNAMEyyy You can send us the details by clicking the link below .  xxxURLyyy,1,1
3879,"xxxSNAMEyyy I got charged twice for the same amount from the same shop . I used an ATM , the transaction was declined , yet I am still charged .","xxxSNAMEyyy I got charged twice for the same amount from the same shop . I used an ATM , the transaction was declined , yet I am still charged .",0,1
3880,xxxSNAMEyyy Reply ?,xxxSNAMEyyy Reply ?,1,1
3881,xxxSNAMEyyy withdrawal from south africa has been nightmare . Asks for usa bank account ? ! ! !,xxxSNAMEyyy withdrawal from south Africa has been nightmare . Asks for USA bank account ? ! ,0,1
3882,xxxSNAMEyyy view the features of Allmiles credit cad using the below link 2/n,xxxSNAMEyyy view the features of All miles credit card using the below link ,1,1
3883,xxxSNAMEyyy Yo Icici and xxxSNAMEyyy : you said you will call back but you never do . Just like my ex . Gues xxxURLyyy,xxxSNAMEyyy Yo ICICI and xxxSNAMEyyy : you said you will call back but you never do . Just like my ex . Gues xxxURLyyy,0,1
3884,xxxSNAMEyyy is there any dead line from your side to rever on my query which I have messaged you earlier ?,xxxSNAMEyyy is there any dead line from your side to rever on my query which I have messaged you earlier ?,0,1
3885,xxxSNAMEyyy Why you reduce limit of card transfer max 40000 by green channel which is very useful for cashless transaction,xxxSNAMEyyy Why did you reduce limit of card transfer maximum 40000 by green channel which is very useful for cashless transaction,0,1
3886,"xxxSNAMEyyy Hello , please let us know if you have a specific account related issue you would like us to help you with . Thank you . ^mm","xxxSNAMEyyy Hello , please let us know if you have a specific account related issue you would like us to help you with . Thank you . ",1,1
3887,xxxSNAMEyyy The lunch time at branches is staggered so that no services will be hampered at any point of time .,xxxSNAMEyyy The lunch time at branches is staggered so that no services will be hampered at any point of time .,1,1
3888,xxxSNAMEyyy How to apply for Credit Card online ?,xxxSNAMEyyy How to apply for Credit Card online ?,1,1
3889,"xxxSNAMEyyy I ca n't withdraw money frm Atm , coz my aadhar nt link with Sav.Acct . Is it compulsory frm bank , Govt. , Or Court to link it ?","xxxSNAMEyyy I can not withdraw money from ATM , because my Aadhar  not linked with Saved Account . Is it compulsory from bank , Government , Or Court to link it ?",0,1
3890,xxxSNAMEyyy Why SBI not giving me those papers in my home branch instead . Why I need to keep travelling . SBI is not custom centric .,xxxSNAMEyyy Why SBI not giving me those papers in my home branch instead . Why I need to keep travelling . SBI is not custom centric .,0,1
3891,"xxxSNAMEyyy Please clarify whether the complaint has been lodged in your name . If yes , please share the correct ticket ( 1/2","xxxSNAMEyyy Please clarify whether the complaint has been lodged in your name . If yes , please share the correct ticket ",1,1
3892,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy ..but wrong accunt # . Payee added . Trusting back-end validation I transferred 50K on 29 Sept /2,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy . but wrong account number . Payee added . Trusting back-end validation I transferred 50K on 29/09/2017,0,1
3893,Sad to say that partiality and diff is going among customers in Jaigaon branch of SBI.. known customers are served first.. xxxSNAMEyyy,Sad to say that partiality and difference is going among customers in Jaigaon branch of SBI . known customers are served first. xxxSNAMEyyy,0,1
3894,xxxSNAMEyyy can you reply to my dm please,xxxSNAMEyyy can you reply to my direct message please,1,1
3895,"xxxSNAMEyyy Hi Priyam , Please share your complete issue , along with caller details and your registered contact info ( 1/3","xxxSNAMEyyy Hi Priyam , Please share your complete issue , along with caller details and your registered contact info ",1,1
3896,"I have a Visa Debit Card , In a week card is not working .I living in Ukraine . xxxSNAMEyyy xxxSNAMEyyy","I have a Visa Debit Card , In a week card is not working .I living in Ukraine . xxxSNAMEyyy xxxSNAMEyyy",0,1
3897,xxxSNAMEyyy the last communication channel approached for us to assist you . ( 3/3,xxxSNAMEyyy the last communication channel approached for us to assist you . ,1,1
3898,"xxxSNAMEyyy they have no sense of how to talk , they are illiterate and ilmannered . Pls keep an eye on them , ruining ur banks reputation .","xxxSNAMEyyy they have no sense of how to talk , they are illiterate and ill-mannered . Please keep an eye on them , ruining your banks reputation .",0,1
3899,xxxSNAMEyyy ... ... Can a family member become a witness for nomination in ppf acc ... ? ? ?,xxxSNAMEyyy .Can a family member become a witness for nomination in public provident field account ?,1,1
3900,xxxSNAMEyyy debited money pay electricity bill show error . Pls advise xxxURLyyy,xxxSNAMEyyy debited money pay electricity bill show error . Please advise xxxURLyyy,0,1
3901,xxxSNAMEyyy sbi staff offering which type of services example xxxURLyyy,xxxSNAMEyyy SBI staff offering which type of services example xxxURLyyy,1,1
3902,xxxSNAMEyyy I 've sent you a DM regarding why completed transactions are not showing up in my available balance help ! !,xxxSNAMEyyy I have sent you a Direct Message regarding why completed transactions are not showing up in my available balance help  !,0,1
3903,xxxSNAMEyyy we have taken note of your comments expressed and you may look forward to receive a response to your e-mail id ( 1/3,xxxSNAMEyyy we have taken note of your comments expressed and you may look forward to receive a response to your e-mail id,2,1
3904,xxxSNAMEyyy contact info amp ; the issue on talktousxxxSNAMEyyy.com . Mention this Ref No . TW1310170903 in the subject of your mail so ( 2/3,xxxSNAMEyyy contact information and the issue on talktousxxxSNAMEyyy.com . Mention this Reference Number ref in the subject of your mail so ,1,1
3905,xxxSNAMEyyy Too late Im already cancelling my acct and going to xxxSNAMEyyy the winners side is where Im taking my talents,xxxSNAMEyyy Too late I am already cancelling my act and going to xxxSNAMEyyy the winners side is where I am taking my talents,0,1
3906,xxxSNAMEyyy Hello Shawn ! Thank you for reaching out to us . Send us a DM for further assistance . ^ML,xxxSNAMEyyy Hello Shawn ! Thank you for reaching out to us . Send us a direct message for further assistance .,2,1
3907,"xxxSNAMEyyy Hi Abhilash , We try to get back to you with the best solution . Please allow us some time to help you . -Bejoy","xxxSNAMEyyy Hi Abhilash , We try to get back to you with the best solution . Please allow us some time to help you . - Bejoy",2,1
3908,xxxSNAMEyyy Hi ! Can you please send us a DM with your PayPal email and some more info ? I 'm happy to help ! xxxEMOyyy ^ALF,xxxSNAMEyyy Hi ! Can you please send us a direct message with your PayPal email and some more info ? I am happy to help ! xxxEMOyyy ,2,1
3909,xxxSNAMEyyy Hey ! Apologies for the delayed response : / We 're sorry to hear that this has happened . If you still need help ( more,xxxSNAMEyyy Hey ! Apologies for the delayed response . We are sorry to hear that this has happened . If you still need help ,2,1
3910,"xxxSNAMEyyy first statement , it shows : earned points : 13019 Lapsed : 5465 Balance : 7554 Since my card had lifetime validity for ( 4/n","xxxSNAMEyyy first statement , it shows : earned points : 13019 Lapsed : 5465 Balance : 7554 Since my card had lifetime validity for ",1,1
3911,"xxxSNAMEyyy Hi , we would like to get in touch with you . Kindly DM us your contact details . xxxURLyyy","xxxSNAMEyyy Hi , we would like to get in touch with you . Kindly Direct Message us your contact details . xxxURLyyy",2,1
3912,"xxxSNAMEyyy Hi Masih , We have already received your email in this regard vide ref id 444-333-991 . We will check the ( 1/2","xxxSNAMEyyy Hi Masih , We have already received your email in this regard video reference identification number  ref . We will check the ",2,1
3913,xxxSNAMEyyy Still i am not getting dabit card,xxxSNAMEyyy Still i am not getting debit card,0,1
3914,xxxSNAMEyyy The associate assigned to your case will be back in the office on Monday from 9:30am-6:00pm PT . ^az,xxxSNAMEyyy The associate assigned to your case will be back in the office on Monday from 9:30 hours - 18:00 hours Pacific time . ,1,1
3915,xxxSNAMEyyy do u have any prb in using states official language ? xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxURLyyy,xxxSNAMEyyy do you have any problem in using the states official language ? xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxURLyyy,1,1
3916,xxxSNAMEyyy I just withdrew funds to my bank account but did n't receive a confirmation email and it was n't confirmed in-app either ( 1/2,xxxSNAMEyyy I just withdrew funds to my bank account but did not receive a confirmation email and it was not confirmed in the application either ,0,1
3917,.xxxSNAMEyyy xxxSNAMEyyy called on phone banking number today at 9.17 am ! voice mail said we are available from Mon-Fri amp ; hung up ! Wow,.xxxSNAMEyyy xxxSNAMEyyy called on phone banking number today at 9:17 hours ! voice mail said we are available from Monday to Friday and they hung up ! Wow,0,1
3918,"xxxSNAMEyyy Hi , please DM us your contact details and our official will contact you .","xxxSNAMEyyy Hi , please directly message us your contact details and our official will contact you .",1,1
3919,"xxxSNAMEyyy Hey Cris , we are n't experiencing any problems at the moment . Please send us a DM if you are still experi xxxURLyyy","xxxSNAMEyyy Hey Cris , we are not experiencing any problems at the moment . Please send us a direct message if you are still experiencing xxxURLyyy",1,1
3920,xxxSNAMEyyy xxxSNAMEyyy bank officials are busy with their mobile . And nobody is there to tell what 's happening around here SBIN0003507,xxxSNAMEyyy xxxSNAMEyyy bank officials are busy with their mobile . And nobody is there to tell what is happening around here reference number ref.,0,1
3921,"xxxSNAMEyyy Hi , I 'm sorry for the wait . Were you able to speak to an associate ? Pls let us know how we can help . ^ra","xxxSNAMEyyy Hi , I am sorry for the wait . Were you able to speak to an associate ? Pls let us know how we can help . ",2,1
3922,"Aadhaar-SIM linking fraud - xxxURLyyy xxxSNAMEyyy , xxxSNAMEyyy , xxxSNAMEyyy could you guys do any worse ?","Aadhaar-SIM linking fraud - xxxURLyyy xxxSNAMEyyy , xxxSNAMEyyy , xxxSNAMEyyy could you guys do any worse ?",0,1
3923,xxxSNAMEyyy none of your official has contacted yet,xxxSNAMEyyy none of your official has contacted yet,0,1
3924,xxxSNAMEyyy you are liars and stealers . You stole my money ! Shame on you,xxxSNAMEyyy you are liars and stealers . You stole my money ! Shame on you,0,1
3925,"xxxSNAMEyyy Sir I want home loan , my home is already completed","xxxSNAMEyyy Sir I want home loan , my home is already completed",1,1
3926,"xxxSNAMEyyy Hi Anusha , Please elaborate on your concern for me to assist you . -Bejoy","xxxSNAMEyyy Hi Anusha , Please elaborate on your concern for me to assist you . - Bejoy",1,1
3927,xxxSNAMEyyy Hello ! Can you please DM me your PayPal email address and a screenshot of the message you are receiving a xxxURLyyy,xxxSNAMEyyy Hello ! Can you please Directly Message me your PayPal email address and a screenshot of the message you are receiving a xxxURLyyy,1,1
3928,xxxSNAMEyyy You made me send a email things are very transparent now I been dealing with wrong bank from last 5 yrs,xxxSNAMEyyy You made me send a email things are very transparent now I been dealing with wrong bank from last 5 years,0,1
3929,"xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy both have lost it on Aadhar linking , spamming since months now .","xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy both have lost it on Aadhar linking , spamming since months now .",0,1
3930,"xxxSNAMEyyy Dear sbi , what is the use of your website sbionline . There 's nothing that a person can do online . Visit branch for everythin","xxxSNAMEyyy Dear SBI , what is the use of your website sbionline . There 's nothing that a person can do online . Visit branch for everything",0,1
3931,xxxSNAMEyyy We regret the inconvenience caused . Please register a complaint athttps : //xxxURLyyy under ( 1/2,xxxSNAMEyyy We regret the inconvenience caused . Please register a complaint at https : //xxxURLyyy under ,1,1
3932,"xxxSNAMEyyy Hello , we saw your Twitter post . Is there anything we can do to help ? ^rr","xxxSNAMEyyy Hello , we saw your Twitter post . Is there anything we can do to help ? ",1,1
3933,xxxSNAMEyyy Sent the entire details in DM .,xxxSNAMEyyy Sent the entire details in direct message .,1,1
3934,xxxSNAMEyyy Thank You Problem has been resolved Everything in working properly,xxxSNAMEyyy Thank You Problem has been resolved Everything in working properly,2,1
3935,"xxxSNAMEyyy Hi , we regret any inconvenience caused . Please DM us your contact details . Our official will contact you . 1/2","xxxSNAMEyyy Hi , we regret any inconvenience caused . Please directly message us your contact details . Our official will contact you . ",2,1
3936,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy sorry that is the way it wor xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy sorry that is the way it works xxxURLyyy,1,1
3937,"xxxSNAMEyyy We regret the inconvenience caused . To help us examine and resolve the matter , please share relevant details ( 1/2","xxxSNAMEyyy We regret the inconvenience caused . To help us examine and resolve the matter , please share relevant details ",2,1
3938,xxxSNAMEyyy address of the Branch amp ; your contact details Visit here xxxURLyyy for help with branc xxxURLyyy,xxxSNAMEyyy address of the branch and your contact details visit here xxxURLyyy for help with branch xxxURLyyy,1,1
3939,"xxxSNAMEyyy hello , i cant login to my account , paypal email : seven3stxxxSNAMEyyy.de it says we cant identify your identity","xxxSNAMEyyy hello , i can not login to my account , paypal email : seven3stxxxSNAMEyyy.de it says we cant identify your identity",0,1
3940,"xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Sir , Share your contact no . will inform to concerned inspector","xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Sir , Share your contact number , will inform to concerned inspector",1,1
3941,xxxSNAMEyyy SBIofficer is it playing card in bank ? Sending debit card to 1711 new delhi Meanwhile I am having A/C Beldaur 17134 bihar,xxxSNAMEyyy SBI officer is playing card in bank ? Sending debit card to 1711 New Delhi Meanwhile I am having account in  Beldaur 17134 bihar,0,1
3942,xxxSNAMEyyy and get back to you.-Anay ( 2/2,xxxSNAMEyyy and get back to you.-Anay ,1,1
3943,xxxSNAMEyyy You guys are holding CLEARED FUNDS for a week and a half . Disgusting . xxxHASHTAGyyy,xxxSNAMEyyy You guys are holding CLEARED FUNDS for a week and a half . Disgusting . xxxHASHTAGyyy,0,1
3944,xxxSNAMEyyy team will look in the matter . ( 3/3,xxxSNAMEyyy team will look in the matter . ,1,1
3945,"xxxSNAMEyyy Hi , we are sorry for the trouble . Please visit : xxxURLyyy for information ( 1/2","xxxSNAMEyyy Hi , we are sorry for the trouble . Please visit : xxxURLyyy for information ",1,1
3946,xxxSNAMEyyy What is the MAV penalty rate for current account in rural areas ? SBI 17222,xxxSNAMEyyy What is the Monthly Average Value penalty rate for current account in rural areas ? SBI reference number ref,1,1
3947,xxxSNAMEyyy your service sucks not able to login no 1 picking call at customer care xxxSNAMEyyy,xxxSNAMEyyy your service sucks not able to login no one is picking call at customer care xxxSNAMEyyy,0,1
3948,xxxSNAMEyyy improving our offerings.Please also note in order to provide suitable resolution for the query /complaint of our ( 2/4,xxxSNAMEyyy improving our offerings. Please also note in order to provide suitable resolution for the query or complaint of our ,1,1
3949,xxxSNAMEyyy Hi I had recieved a call which was asking for responses to avail credit card limit increase . This is fake ? ? +912657146048,xxxSNAMEyyy Hi I had recieved a call which was asking for responses to avail credit card limit increase . This is fake ? phone number ref,1,1
3950,xxxSNAMEyyy request you to share the relevant details at xxxURLyyy under General banking//Operation of a xxxURLyyy,xxxSNAMEyyy request you to share the relevant details at xxxURLyyy under General banking or Operation of a xxxURLyyy,1,1
3951,"xxxSNAMEyyy Hi there - I 'm sorry to hear about this situation ! If you 're still in need of assistance , feel free t xxxURLyyy","xxxSNAMEyyy Hi there - I am sorry to hear about this situation ! If you are still in need of assistance , feel free to xxxURLyyy",2,1
3952,xxxSNAMEyyy The counters are closed . No quenes for senior citizens ... All are in one quenes..this is how you ba xxxURLyyy,"xxxSNAMEyyy The counters are closed . No queues for senior citizens , ., All are in one queues, .,this is how you banks xxxURLyyy",1,1
3953,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy And in return what SBI gets ? The only bank to manage rai xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy And in return what SBI gets ? The only bank to manage Rai xxxURLyyy,1,1
3954,xxxSNAMEyyy also I m icici bank customer since last 10 years so I applied loan from icici but very bad experience with icicihome loan,xxxSNAMEyyy also I am Icici bank customer since last 10 years so I applied loan from ICICI but very bad experience with ICICI home loan,0,1
3955,"xxxSNAMEyyy Hello , Gordon . Thank you for reaching out to us , and sorry for the delayed response . You can forwa xxxURLyyy","xxxSNAMEyyy Hello , Gordon . Thank you for reaching out to us , and sorry for the delayed response . You can forward to xxxURLyyy",1,1
3956,xxxSNAMEyyy Phone service is awful - 45mins wait on the phone and still no answer,xxxSNAMEyyy Phone service is awful - 45 minutes wait on the phone and still no answer,0,1
3957,xxxSNAMEyyy xxxSNAMEyyy If i want to upgrd my crd then i m nt eligible amp ; if i wnt to aply for same crd as new then i am elgbl,xxxSNAMEyyy xxxSNAMEyyy If i want to upgrade my card then i am not eligible and if i want to apply for same card as new then i am eligible,1,1
3958,Why are you still using Equifax xxxSNAMEyyy xxxSNAMEyyy and submitting my personal information to them ? Did n't you hear xxxURLyyy,Why are you still using Equifax xxxSNAMEyyy xxxSNAMEyyy and submitting my personal information to them ? Did not you hear xxxURLyyy,1,1
3959,"xxxSNAMEyyy Hi Ashutosh , Let me take it up with the concerned team and get back to you . Request your patience in the ( 1/2","xxxSNAMEyyy Hi Ashutosh , Let me take it up with the concerned team and get back to you . Request your patience in the ",1,1
3960,"xxxSNAMEyyy Hi , we confirm to you that , the call you have received has not been made by ICICI Bank . ICICI Bank never asks personal , 1/4","xxxSNAMEyyy Hi , we confirm to you that , the call you have received has not been made by ICICI Bank . ICICI Bank never asks personal ",1,1
3961,"xxxSNAMEyyy Dear Kritika , please use the in-app complaint mechanism to register your UPI transaction related","xxxSNAMEyyy Dear Kritika , please use the in application complaint mechanism to register your UPI transaction related",1,1
3962,xxxSNAMEyyy What 's the maximum limit we can load into payzapp wallet and Max limit for transfers into bank account per day /month ?,xxxSNAMEyyy What is the maximum limit we can load into Payzapp wallet and maximum limit for transfers into bank account per day or month ?,1,1
3963,xxxSNAMEyyy You can send us a message by clicking the link below . ^cl xxxURLyyy,xxxSNAMEyyy You can send us a message by clicking the link below xxxURLyyy .,1,1
3964,xxxSNAMEyyy in the subject of your mail so it 'll help us track your e-mail . -Manoj ( 3/3,xxxSNAMEyyy in the subject of your mail so it will help us track your e-mail  - Manoj . ,1,1
3965,xxxSNAMEyyy This is daily routine at hussainabad sbi2947 ATM closed at 6pm and open at 8:30 am to 11:00 am,xxxSNAMEyyy This is daily routine at Hussainabad reference number ref ATM closed at 18:00 hours and opens at 8:30 hours to 11:00 hours,1,1
3966,xxxSNAMEyyy Message me,xxxSNAMEyyy Message me,1,1
3967,"xxxSNAMEyyy We regret the inconvenience caused . To help us examine and resolve the matter , please share relevant details ( 1/2","xxxSNAMEyyy We regret the inconvenience caused . To help us examine and resolve the matter , please share relevant details .",1,1
3968,"xxxSNAMEyyy Hey there , i added 2 Bank accounts to my paypal but i might have sended my money into the wrong bank account - , -","xxxSNAMEyyy Hey there , i added 2 Bank accounts to my Paypal but i might have sent my money into the wrong bank account unknown_expression",1,1
3969,"xxxSNAMEyyy Hi , thanks for reaching out ! I 've responded to your DM . Please take a look when you get the chance . xxxEMOyyy Thanks ! ^EHMB","xxxSNAMEyyy Hi , thanks for reaching out ! I have responded to your direct message . Please take a look when you get the chance . xxxEMOyyy Thanks ! ",2,1
3970,xxxSNAMEyyy Please use link below to send your full name/ZIP/phone/account type and well follow up with you . ^mm xxxURLyyy,xxxSNAMEyyy Please use link below to send your full name/ZIP/phone/account type and well follow up with you . xxxURLyyy,1,1
3971,xxxSNAMEyyy of the issue . ( 3/3,xxxSNAMEyyy of the issue . ,1,1
3972,xxxSNAMEyyy requirements : i ) Financial Inclusion Accounts ii ) No frill accounts iii ) Salary Package accounts iv ) Basic Savings ( 2/5,xxxSNAMEyyy requirements : 1 ) Financial Inclusion Accounts 2 ) No frill accounts 3 ) Salary Package accounts  4 ) Basic Savings ,1,1
3973,xxxSNAMEyyy Thanks for your e-mail . We have taken up the matter with the concerned team for resolution of the issue .,xxxSNAMEyyy Thanks for your e-mail . We have taken up the matter with the concerned team for resolution of the issue .,2,1
